iter	RMSE
0	23793.06736
1	20739.31713
2	18899.99248
3	17729.9424
4	17035.24476
5	16620.77384
6	16309.1523
7	16102.3075
8	15935.5457
9	15825.82177
10	15679.8753
11	15583.70356
12	15475.97186
13	15399.2444
14	15332.89987
15	15285.1367
16	15241.38685
17	15187.16525
18	15147.45836
19	15110.84515
20	15082.66143
21	15058.08856
22	15027.78433
23	14999.95904
24	14980.75824
25	14956.56162
26	14940.27718
27	14923.51208
28	14901.01481
29	14880.31949
30	14868.5315
31	14855.76157
32	14840.29769
33	14820.44467
34	14809.59363
35	14796.18725
36	14782.89625
37	14769.62857
38	14762.35829
39	14753.30333
40	14744.12128
41	14735.47249
42	14725.76583
43	14718.72022
44	14707.05368
45	14695.44135
46	14687.06299
47	14677.79821
48	14670.85261
49	14663.90636
50	14656.82742
51	14648.73109
52	14641.32881
53	14634.4418
54	14627.7479
55	14621.38269
56	14613.99884
57	14609.03625
58	14602.99258
59	14598.49652
60	14592.23469
61	14585.55655
62	14581.92562
63	14577.16695
64	14572.24127
65	14565.07408
66	14559.53845
67	14553.71804
68	14549.03839
69	14543.29209
70	14539.08479
71	14533.89027
72	14528.46299
73	14524.2858
74	14519.50306
75	14514.85147
76	14509.62748
77	14506.21622
78	14502.02479
79	14498.03818
80	14492.03691
81	14487.73618
82	14483.89187
83	14479.80952
84	14475.00283
85	14471.45895
86	14467.72331
87	14464.26099
88	14458.84247
89	14455.62955
90	14451.9104
91	14448.35728
92	14443.76489
93	14439.93975
94	14435.56128
95	14431.54148
96	14428.40912
97	14426.01116
98	14422.45223
99	14418.56355
100	14414.76371
101	14411.1104
102	14406.70116
103	14402.63579
104	14398.73386
105	14394.67873
106	14390.54935
107	14387.1196
108	14383.13994
109	14378.42195
110	14375.20447
111	14371.68299
112	14368.7425
113	14365.81605
114	14361.2189
115	14357.15744
116	14354.72405
117	14351.30948
118	14348.03013
119	14345.34642
120	14342.2139
121	14339.29583
122	14335.61983
123	14332.99004
124	14330.57322
125	14327.55222
126	14324.15456
127	14320.40612
128	14317.48398
129	14315.14719
130	14312.65314
131	14309.14023
132	14306.03692
133	14303.21047
134	14299.57701
135	14296.47294
136	14293.42852
137	14291.33232
138	14288.74182
139	14286.46036
140	14284.08794
141	14281.44788
142	14277.94583
143	14276.04731
144	14273.98223
145	14271.43023
146	14268.24877
147	14265.43661
148	14263.54454
149	14260.75635
