iter	Passed	Remaining
0	5	775
1	9	715
2	13	679
3	18	673
4	22	658
5	26	641
6	31	633
7	35	621
8	39	612
9	43	606
10	47	598
11	51	592
12	55	584
13	60	583
14	64	581
15	68	574
16	72	569
17	77	566
18	81	560
19	85	555
20	89	550
21	93	544
22	97	539
23	101	533
24	105	528
25	110	527
26	114	522
27	118	517
28	123	514
29	127	510
30	131	505
31	135	500
32	140	496
33	144	491
34	148	486
35	153	485
36	158	482
37	162	478
38	166	475
39	171	470
40	175	466
41	179	462
42	184	457
43	188	453
44	192	448
45	196	444
46	200	440
47	205	436
48	209	432
49	214	428
50	218	423
51	222	418
52	226	414
53	230	409
54	234	405
55	238	400
56	242	396
57	247	392
58	251	387
59	255	383
60	259	378
61	263	373
62	267	369
63	271	364
64	275	359
65	279	355
66	283	351
67	287	347
68	292	343
69	296	339
70	301	335
71	305	330
72	309	326
73	313	322
74	318	318
75	322	313
76	326	309
77	330	305
78	334	301
79	338	296
80	343	292
81	347	288
82	352	284
83	356	279
84	360	275
85	364	271
86	368	266
87	372	262
88	376	258
89	380	253
90	385	249
91	389	245
92	393	241
93	398	237
94	402	232
95	406	228
96	410	224
97	414	219
98	418	215
99	423	211
100	427	207
101	431	202
102	435	198
103	439	194
104	443	190
105	447	185
106	452	181
107	456	177
108	460	173
109	464	168
110	468	164
111	472	160
112	476	156
113	480	151
114	484	147
115	488	143
116	492	138
117	497	134
118	501	130
119	505	126
120	509	122
121	514	118
122	519	113
123	523	109
124	527	105
125	532	101
126	536	97
127	541	93
128	545	88
129	550	84
130	554	80
131	558	76
132	562	71
133	566	67
134	570	63
135	575	59
136	579	54
137	583	50
138	587	46
139	591	42
140	595	38
141	599	33
142	604	29
143	608	25
144	612	21
145	616	16
146	621	12
147	625	8
148	629	4
149	633	0
